,Z,Z_norm,Z_NH3,phi,yp,yp_src,dyp_dx,H_ele,strain,T,P,K,H2,NH3,NO,N2O,O2,H,O,OH,HO2,H2O,H2O2,NO2,HNO,N,NNH,NH2,NH,H2NO,N2
34,0.073659829,0.090225205,0.064130635,0.6,0.041390711,2.291983346,299.8785774,0.013553999,4819.282102,1110.57877,101325,10.6504344,0.002941372,0.033099241,0.001783909,0.001953313,0.18076615,1.21E-05,7.04E-05,5.08E-05,0.000124508,0.041390711,8.76E-06,1.30E-05,0.00015623,3.26E-06,3.14E-08,0.000618749,1.89E-05,7.15E-07,0.736987899
35,0.073820186,0.090225205,0.064088228,0.6,0.047247715,3.198338062,317.6849501,0.013599885,5074.306531,1160.305389,101325,10.6504344,0.002780883,0.030447182,0.002276132,0.002327678,0.175204552,1.59E-05,9.92E-05,7.63E-05,0.000120839,0.047247715,7.85E-06,1.18E-05,0.000184682,4.58E-06,4.91E-08,0.000741131,2.45E-05,8.89E-07,0.7384281
36,0.073953072,0.090225205,0.064154549,0.6,0.050350107,3.764512753,329.1003429,0.013628762,5234.10978,1186.399609,101325,10.6504344,0.002699757,0.029044571,0.002563606,0.002524652,0.172196146,1.81E-05,0.000117224,9.37E-05,0.000118829,0.050350107,7.35E-06,1.13E-05,0.00019949,5.38E-06,6.07E-08,0.000804997,2.78E-05,9.90E-07,0.739216028
37,0.074123208,0.090225205,0.064284289,0.6,0.053563977,4.410476769,339.552676,0.013661692,5376.602982,1213.255361,101325,10.6504344,0.002618037,0.02759465,0.002881103,0.002726553,0.169035597,2.05E-05,0.000137989,0.000114922,0.000116702,0.053563977,6.83E-06,1.08E-05,0.000214472,6.28E-06,7.46E-08,0.000869759,3.12E-05,1.10E-06,0.740049447
38,0.074330776,0.090225205,0.064478475,0.6,0.056879921,5.140930825,348.8371766,0.013698631,5498.992235,1240.780312,101325,10.6504344,0.002535705,0.026103733,0.003229735,0.002931131,0.165729981,2.31E-05,0.00016175,0.00014077,0.000114451,0.056879921,6.30E-06,1.03E-05,0.000229355,7.28E-06,9.10E-08,0.000934317,3.50E-05,1.22E-06,0.740925883
39,0.074575651,0.090225205,0.064737411,0.6,0.060286535,5.958069099,356.7450572,0.013739518,5598.507939,1268.86828,101325,10.6504344,0.002452751,0.02457937,0.00361021,0.003135763,0.162288817,2.59E-05,0.000188765,0.000172123,0.000112057,0.060286535,5.76E-06,9.91E-06,0.000243823,8.38E-06,1.10E-07,0.000997396,3.89E-05,1.34E-06,0.74184209
40,0.074857365,0.090225205,0.065060623,0.6,0.063770373,6.860970927,363.0696405,0.013784273,5672.486071,1297.399506,101325,10.6504344,0.002369175,0.023030317,0.004022751,0.003337492,0.158724155,2.90E-05,0.000219275,0.000209978,0.000109493,0.063770373,5.23E-06,9.51E-06,0.000257532,9.57E-06,1.32E-07,0.001057565,4.29E-05,1.47E-06,0.742794047
41,0.075175084,0.090225205,0.065446818,0.6,0.067315975,7.844906971,367.6134815,0.013832794,5718.461054,1326.241345,101325,10.6504344,0.002284997,0.021466451,0.004467013,0.003533078,0.155050602,3.23E-05,0.000253496,0.000255441,0.00010673,0.067315975,4.72E-06,9.12E-06,0.000270116,1.09E-05,1.56E-07,0.001113278,4.71E-05,1.60E-06,0.74377698
42,0.075527582,0.090225205,0.06589386,0.6,0.07090595,8.90067032,370.1964222,0.013884952,5734.269184,1355.249428,101325,10.6504344,0.002200258,0.019898623,0.004942018,0.003719085,0.15128526,3.59E-05,0.000291609,0.000309724,0.000103738,0.07090595,4.23E-06,8.74E-06,0.000281208,1.22E-05,1.83E-07,0.001162917,5.12E-05,1.73E-06,0.744785414
43,0.075913217,0.090225205,0.066398759,0.6,0.07452115,10.01403368,370.6643161,0.013940585,5718.158557,1384.269344,101325,10.6504344,0.002115031,0.018338455,0.005446099,0.003891972,0.14744758,3.96E-05,0.000333748,0.000374123,0.000100488,0.07452115,3.77E-06,8.37E-06,0.000290457,1.37E-05,2.12E-07,0.001204865,5.53E-05,1.86E-06,0.745813243
44,0.076329917,0.090225205,0.066957688,0.6,0.078140918,11.16543763,368.8980458,0.013999496,5668.90188,1413.138862,101325,10.6504344,0.002029418,0.01679807,0.005976868,0.004048221,0.143559115,4.36E-05,0.000379994,0.000449986,9.70E-05,0.078140918,3.36E-06,8.00E-06,0.000297544,1.51E-05,2.43E-07,0.001237579,5.92E-05,1.97E-06,0.746853831
45,0.076775174,0.090225205,0.067566016,0.6,0.081743438,12.33002015,364.8222702,0.014061444,5585.904848,1441.690698,101325,10.6504344,0.001943565,0.015289778,0.00653121,0.004184465,0.139643188,4.78E-05,0.000430359,0.000538675,9.32E-05,0.081743438,2.99E-06,7.64E-06,0.000302204,1.66E-05,2.74E-07,0.001259683,6.28E-05,2.07E-06,0.747900144
46,0.077246041,0.090225205,0.068218364,0.6,0.085306156,13.4780948,358.4132226,0.01412614,5469.303031,1469.755794,101325,10.6504344,0.001857656,0.013825715,0.007105299,0.004297632,0.135724454,5.21E-05,0.000484787,0.000641499,8.91E-05,0.085306156,2.68E-06,7.27E-06,0.00030424,1.81E-05,3.06E-07,0.001270054,6.60E-05,2.15E-06,0.748944898
47,0.077739154,0.090225205,0.068908691,0.6,0.088806285,14.57616785,349.7347728,0.014193248,5320.512323,1497.167053,101325,10.6504344,0.00177192,0.012417457,0.007694661,0.004385084,0.131828391,5.66E-05,0.000543148,0.000759647,8.47E-05,0.088806285,2.41E-06,6.91E-06,0.000303538,1.95E-05,3.36E-07,0.001267905,6.86E-05,2.20E-06,0.749980732
